,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
79,Carvajal,"173cm / 5'8""",73kg / 161lb,RB,Right,81,58,79,81,81,79,33,Spain,LALIGA EA SPORTS,Real Madrid
80,Mary Earps,"173cm / 5'8""",68kg / 150lb,GK,Right,83,83,83,85,41,85,32,England,Arkema PL,Paris SG
81,Ousmane Dembélé,"178cm / 5'10""",67kg / 148lb,RW,Left,92,75,82,88,41,57,27,France,Ligue 1 McDonald's,Paris SG
82,Lauren James,"175cm / 5'9""",77kg / 170lb,RW,Right,89,81,80,87,40,82,23,England,Barclays WSL,Chelsea
83,Lena Oberdorf,"174cm / 5'9""",68kg / 150lb,CDM,Right,62,62,76,75,87,89,23,Germany,GPFBL,FC Bayern München
84,Trent Alexander-Arnold,"180cm / 5'11""",72kg / 159lb,RB,Right,75,72,90,80,80,74,26,England,Premier League,Liverpool
85,Pedri,"174cm / 5'9""",60kg / 132lb,CM,Right,77,69,82,88,70,74,22,Spain,LALIGA EA SPORTS,FC Barcelona
86,Grace Geyoro,"168cm / 5'6""",61kg / 134lb,CM,Right,79,72,82,83,83,79,27,France,Arkema PL,Paris SG
87,Jonathan Tah,"195cm / 6'5""",94kg / 207lb,CB,Right,71,38,60,62,86,84,29,Germany,Bundesliga,Leverkusen
88,Karim Benzema,"185cm / 6'1""",81kg / 179lb,ST,Right,77,85,81,84,38,77,37,France,ROSHN Saudi League,Al Ittihad
89,Bremer,"187cm / 6'2""",84kg / 185lb,CB,Right,82,50,58,66,86,85,27,Brazil,Serie A Enilive,Juventus
90,Joshua Kimmich,"177cm / 5'10""",75kg / 165lb,RB,Right,69,74,88,84,81,77,30,Germany,Bundesliga,FC Bayern München
91,Chloe Kelly,"168cm / 5'6""",58kg / 128lb,RW,Right,88,79,85,85,43,68,27,England,Barclays WSL,Manchester City
92,Unai Simón,"190cm / 6'3""",89kg / 196lb,GK,Right,85,81,78,86,49,85,27,Spain,LALIGA EA SPORTS,Athletic Club
93,Lindsey Horan,"175cm / 5'9""",67kg / 148lb,CM,Right,77,84,86,84,63,79,30,United States,Arkema PL,OL
94,Lea Schüller,"173cm / 5'8""",60kg / 132lb,ST,Right,87,83,70,82,33,74,27,Germany,GPFBL,FC Bayern München
95,Manuel Neuer,"193cm / 6'4""",93kg / 205lb,GK,Right,83,81,90,83,49,88,38,Germany,Bundesliga,FC Bayern München
96,Jill Roord,"175cm / 5'9""",63kg / 139lb,CAM,Right,75,84,84,85,52,73,27,Holland,Barclays WSL,Manchester City
97,Kim Little,"162cm / 5'4""",57kg / 126lb,CM,Right,76,78,83,88,62,66,34,Scotland,Barclays WSL,Arsenal
98,Hakan Çalhanoğlu,"178cm / 5'10""",69kg / 152lb,CDM,Right,71,80,87,85,79,76,31,Turkey,Serie A Enilive,Lombardia FC
99,Khvicha Kvaratskhelia,"183cm / 6'0""",70kg / 154lb,LW,Right,86,79,80,86,41,71,24,Georgia,Serie A Enilive,SSC Napoli
100,David Alaba,"180cm / 5'11""",78kg / 172lb,CB,Left,79,71,83,80,85,77,32,Austria,LALIGA EA SPORTS,Real Madrid
101,Ronald Araujo,"188cm / 6'2""",79kg / 174lb,CB,Right,82,53,64,62,85,84,26,Uruguay,LALIGA EA SPORTS,FC Barcelona
102,Ona Batlle,"160cm / 5'3""",51kg / 112lb,LB,Right,80,50,78,80,80,71,25,Spain,Liga F,FC Barcelona
103,Julian Brandt,"185cm / 6'1""",83kg / 183lb,CAM,Right,71,79,85,86,50,70,28,Germany,Bundesliga,Borussia Dortmund
104,Millie Bright,"178cm / 5'10""",76kg / 168lb,CB,Right,57,50,69,58,86,87,31,England,Barclays WSL,Chelsea
105,Lucy Bronze,"172cm / 5'8""",70kg / 154lb,RB,Right,71,68,80,79,84,87,33,England,Barclays WSL,Chelsea
106,Rachel Daly,"167cm / 5'6""",62kg / 137lb,ST,Right,77,85,76,82,64,76,33,England,Barclays WSL,Aston Villa
107,Caitlin Foord,"169cm / 5'7""",61kg / 134lb,LW,Right,87,78,80,83,45,70,30,Australia,Barclays WSL,Arsenal
108,Merle Frohms,"175cm / 5'9""",60kg / 132lb,GK,Right,85,82,76,84,51,86,30,Germany,GPFBL,VfL Wolfsburg
109,Éder Militão,"186cm / 6'1""",78kg / 172lb,CB,Right,85,50,69,71,85,82,27,Brazil,LALIGA EA SPORTS,Real Madrid
110,Cristiana Girelli,"174cm / 5'9""",64kg / 141lb,ST,Right,80,85,70,80,46,78,34,Italy,Calcio A Femminile,Juventus
111,Bruno Guimarães,"182cm / 6'0""",74kg / 163lb,CDM,Right,68,75,83,84,79,83,27,Brazil,Premier League,Newcastle Utd
112,Kathrin Hendrich,"173cm / 5'8""",55kg / 121lb,CB,Right,73,44,70,73,86,76,32,Germany,GPFBL,VfL Wolfsburg
113,Svenja Huth,"163cm / 5'4""",54kg / 119lb,RM,Right,82,71,82,85,52,68,34,Germany,GPFBL,VfL Wolfsburg
114,Alexander Isak,"192cm / 6'4""",77kg / 170lb,ST,Right,85,84,73,86,39,74,25,Sweden,Premier League,Newcastle Utd
115,N'Golo Kanté,"168cm / 5'6""",70kg / 154lb,CDM,Right,76,65,73,80,85,78,33,France,ROSHN Saudi League,Al Ittihad
116,Jules Koundé,"180cm / 5'11""",75kg / 165lb,RB,Right,84,45,70,75,86,80,26,France,LALIGA EA SPORTS,FC Barcelona
117,Ashley Lawrence,"164cm / 5'5""",60kg / 132lb,RB,Right,84,67,82,80,82,77,29,Canada,Barclays WSL,Chelsea
118,Eugénie Le Sommer,"161cm / 5'3""",58kg / 128lb,ST,Right,70,85,79,85,43,74,35,France,Arkema PL,OL
119,Vitinha,"172cm / 5'8""",64kg / 141lb,CM,Right,72,77,84,87,73,68,25,Portugal,Ligue 1 McDonald's,Paris SG
120,James Maddison,"175cm / 5'9""",73kg / 161lb,CAM,Right,71,81,86,86,54,63,28,England,Premier League,Spurs
121,Riyad Mahrez,"179cm / 5'10""",67kg / 148lb,RM,Left,79,81,81,88,39,62,34,Algeria,ROSHN Saudi League,Al Ahli
122,Giorgi Mamardashvili,"199cm / 6'6""",88kg / 194lb,GK,Left,86,83,72,85,48,85,24,Georgia,LALIGA EA SPORTS,Valencia CF
123,Clara Mateo,"168cm / 5'6""",60kg / 132lb,RM,Right,84,83,80,84,59,73,27,France,Arkema PL,Paris FC
124,Katie McCabe,"164cm / 5'5""",55kg / 121lb,LB,Left,80,74,80,80,81,82,29,Republic of Ireland,Barclays WSL,Arsenal
125,Mikel Merino,"189cm / 6'2""",83kg / 183lb,CM,Left,72,79,82,82,83,82,28,Spain,Premier League,Arsenal
126,Vivianne Miedema,"178cm / 5'10""",65kg / 143lb,ST,Right,82,84,70,85,32,80,28,Holland,Barclays WSL,Manchester City
127,Sergej Milinković-Savić,"192cm / 6'4""",95kg / 209lb,CM,Right,64,80,81,82,78,88,30,Serbia,ROSHN Saudi League,Al Hilal
128,Chiamaka Nnadozie,"180cm / 5'11""",69kg / 152lb,GK,Right,84,83,80,86,63,84,24,Nigeria,Arkema PL,Paris FC
129,Loïs Openda,"177cm / 5'10""",75kg / 165lb,ST,Right,93,84,69,81,31,79,25,Belgium,Bundesliga,RB Leipzig
130,Asisat Oshoala,"169cm / 5'7""",60kg / 132lb,ST,Right,91,84,78,85,50,85,30,Nigeria,NWSL,Bay FC
131,Palhinha,"190cm / 6'3""",83kg / 183lb,CDM,Right,52,68,72,74,85,90,29,Portugal,Bundesliga,FC Bayern München
132,Cole Palmer,"189cm / 6'2""",74kg / 163lb,RM,Left,75,82,83,86,50,66,22,England,Premier League,Chelsea
133,Andrew Robertson,"178cm / 5'10""",64kg / 141lb,LB,Left,78,61,82,79,81,78,30,Scotland,Premier League,Liverpool
134,Alessia Russo,"173cm / 5'8""",64kg / 141lb,ST,Right,82,83,69,84,39,72,26,England,Barclays WSL,Arsenal
135,Leroy Sané,"183cm / 6'0""",80kg / 176lb,RM,Left,90,83,80,86,37,70,29,Germany,Bundesliga,FC Bayern München
136,Becky Sauerbrunn,"170cm / 5'7""",64kg / 141lb,CB,Right,61,44,61,69,87,83,39,United States,NWSL,Portland Thorns
137,Nico Schlotterbeck,"191cm / 6'3""",86kg / 190lb,CB,Left,77,59,70,73,85,82,25,Germany,Bundesliga,Borussia Dortmund
138,Kailen Sheridan,"176cm / 5'9""",72kg / 159lb,GK,Right,85,82,80,85,41,84,29,Canada,NWSL,San Diego Wave
139,John Stones,"188cm / 6'2""",76kg / 168lb,CB,Right,69,58,75,79,85,77,30,England,Premier League,Manchester City
140,Aurélien Tchouaméni,"188cm / 6'2""",82kg / 181lb,CDM,Right,73,69,79,78,82,82,25,France,LALIGA EA SPORTS,Real Madrid
141,Diogo Jota,"178cm / 5'10""",70kg / 154lb,ST,Right,82,82,75,84,57,79,28,Portugal,Premier League,Liverpool
142,Sandro Tonali,"181cm / 5'11""",79kg / 174lb,CDM,Right,84,74,81,81,82,82,24,Italy,Premier League,Newcastle Utd
143,Keira Walsh,"165cm / 5'5""",64kg / 141lb,CDM,Right,64,46,81,79,79,74,27,England,Liga F,FC Barcelona
144,Ollie Watkins,"180cm / 5'11""",70kg / 154lb,ST,Right,85,83,73,80,50,83,29,England,Premier League,Aston Villa
145,Nico Williams,"181cm / 5'11""",67kg / 148lb,LM,Right,93,75,78,86,36,65,22,Spain,LALIGA EA SPORTS,Athletic Club
146,Leah Williamson,"170cm / 5'7""",57kg / 126lb,CB,Right,74,45,73,72,86,76,27,England,Barclays WSL,Arsenal
147,Francesco Acerbi,"192cm / 6'4""",88kg / 194lb,CB,Left,60,50,64,65,86,80,37,Italy,Serie A Enilive,Lombardia FC
148,Manuel Akanji,"187cm / 6'2""",91kg / 201lb,CB,Right,78,48,71,75,85,82,29,Switzerland,Premier League,Manchester City
149,Nathan Aké,"180cm / 5'11""",75kg / 165lb,CB,Left,76,53,72,75,84,77,30,Holland,Premier League,Manchester City
150,Julián Álvarez,"170cm / 5'7""",71kg / 157lb,ST,Right,85,84,80,85,57,78,25,Argentina,LALIGA EA SPORTS,Atlético de Madrid
151,Iago Aspas,"176cm / 5'9""",67kg / 148lb,ST,Left,81,86,79,86,35,65,37,Spain,LALIGA EA SPORTS,RC Celta
152,Sandy Baltimore,"156cm / 5'1""",62kg / 137lb,RM,Left,84,72,85,84,64,69,25,France,Barclays WSL,Chelsea
153,Ann-Katrin Berger,"180cm / 5'11""",63kg / 139lb,GK,Right,85,84,80,84,45,81,34,Germany,NWSL,NJ/NY Gotham
154,Hannah Blundell,"163cm / 5'4""",54kg / 119lb,LB,Right,70,54,72,73,85,72,30,England,Barclays WSL,Manchester Utd
155,Lisa Boattin,"160cm / 5'3""",53kg / 117lb,LB,Left,75,66,81,81,81,85,27,Italy,Calcio A Femminile,Juventus
156,Yassine Bounou,"195cm / 6'5""",78kg / 172lb,GK,Left,81,82,77,86,38,83,33,Morocco,ROSHN Saudi League,Al Hilal
157,Kadeisha Buchanan,"170cm / 5'7""",65kg / 143lb,CB,Right,67,44,58,65,86,84,29,Canada,Barclays WSL,Chelsea
158,Mariona,"166cm / 5'5""",64kg / 141lb,LW,Right,77,84,84,85,57,77,28,Spain,Barclays WSL,Arsenal
159,Jane Campbell,"175cm / 5'9""",66kg / 146lb,GK,Right,84,83,85,83,40,85,30,United States,NWSL,Houston Dash
160,Catarina Macario,"165cm / 5'5""",58kg / 128lb,CAM,Right,83,82,80,87,57,72,25,United States,Barclays WSL,Chelsea
161,Arianna Caruso,"165cm / 5'5""",55kg / 121lb,CM,Right,74,80,82,87,71,72,25,Italy,Calcio A Femminile,Juventus
162,Tabitha Chawinga,"172cm / 5'8""",68kg / 150lb,ST,Left,94,81,70,84,36,78,28,Malawi,Arkema PL,OL
163,Federico Chiesa,"175cm / 5'9""",70kg / 154lb,RW,Right,93,83,76,86,52,75,27,Italy,Premier League,Liverpool
164,Kingsley Coman,"181cm / 5'11""",75kg / 165lb,LM,Right,89,75,79,87,30,62,28,France,Bundesliga,FC Bayern München
165,Rúben Neves,"180cm / 5'11""",83kg / 183lb,CDM,Right,57,75,86,77,77,77,27,Portugal,ROSHN Saudi League,Al Hilal
166,Sara Däbritz,"171cm / 5'7""",58kg / 128lb,CM,Left,76,81,84,87,74,72,30,Germany,Arkema PL,OL
167,Linda Dallmann,"158cm / 5'2""",51kg / 112lb,RM,Right,77,78,81,87,46,59,30,Germany,GPFBL,FC Bayern München
168,Matthijs de Ligt,"189cm / 6'2""",89kg / 196lb,CB,Right,62,61,63,67,85,83,25,Holland,Premier League,Man Utd
169,Rodrigo De Paul,"180cm / 5'11""",70kg / 154lb,CM,Right,76,77,83,82,76,82,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid
170,Raphinha,"176cm / 5'9""",68kg / 150lb,RW,Left,91,79,78,86,53,73,28,Brazil,LALIGA EA SPORTS,FC Barcelona
171,Luis Díaz,"180cm / 5'11""",73kg / 161lb,LW,Right,90,80,75,87,39,75,28,Colombia,Premier League,Liverpool
172,Federico Dimarco,"174cm / 5'9""",76kg / 168lb,LB,Left,80,77,84,83,78,81,27,Italy,Serie A Enilive,Lombardia FC
173,Sara Doorsoun,"170cm / 5'7""",58kg / 128lb,CB,Right,77,60,74,76,85,83,33,Germany,GPFBL,Frankfurt
174,Artem Dovbyk,"189cm / 6'2""",78kg / 172lb,ST,Left,84,85,69,79,34,81,27,Ukraine,Serie A Enilive,AS Roma
175,Crystal Dunn,"155cm / 5'1""",55kg / 121lb,CM,Right,87,79,83,85,77,80,32,United States,NWSL,NJ/NY Gotham
176,Ingrid Syrstad Engen,"177cm / 5'10""",67kg / 148lb,CB,Right,72,61,81,77,86,80,26,Norway,Liga F,FC Barcelona
177,Jeremie Frimpong,"172cm / 5'8""",65kg / 143lb,RM,Right,93,62,75,86,75,69,24,Holland,Bundesliga,Leverkusen
178,Aleix García,"173cm / 5'8""",68kg / 150lb,CM,Right,67,77,85,84,76,68,27,Spain,Bundesliga,Leverkusen
179,Manuela Giugliano,"160cm / 5'3""",51kg / 112lb,CM,Right,81,80,84,86,72,74,27,Italy,Calcio A Femminile,Roma
180,Jack Grealish,"180cm / 5'11""",81kg / 179lb,LW,Right,76,76,82,88,53,73,29,England,Premier League,Manchester City
181,Alex Greenwood,"167cm / 5'6""",62kg / 137lb,CB,Left,71,65,80,74,85,82,31,England,Barclays WSL,Manchester City
182,Serhou Guirassy,"187cm / 6'2""",82kg / 181lb,ST,Right,69,86,71,80,39,79,28,Guinea,Bundesliga,Borussia Dortmund
183,Viktor Gyökeres,"187cm / 6'2""",90kg / 198lb,ST,Right,90,83,67,80,36,91,26,Sweden,Liga Portugal,Sporting CP
184,Achraf Hakimi,"181cm / 5'11""",73kg / 161lb,RB,Right,91,76,80,80,75,78,26,Morocco,Ligue 1 McDonald's,Paris SG
185,Pernille Harder,"169cm / 5'7""",60kg / 132lb,CAM,Right,81,78,81,88,27,77,32,Denmark,GPFBL,FC Bayern München
186,Yui Hasegawa,"156cm / 5'1""",48kg / 106lb,CDM,Right,78,71,84,86,79,63,28,Japan,Barclays WSL,Manchester City
187,Lukáš Hrádecký,"192cm / 6'4""",85kg / 187lb,GK,Right,85,80,69,87,40,82,35,Finland,Bundesliga,Leverkusen
188,Amanda Ilestedt,"178cm / 5'10""",65kg / 143lb,CB,Right,68,46,65,63,87,78,32,Sweden,Barclays WSL,Arsenal
189,Dominique Janssen,"174cm / 5'9""",63kg / 139lb,CB,Right,78,59,75,75,83,83,30,Holland,Barclays WSL,Manchester Utd
190,Fran Kirby,"157cm / 5'2""",52kg / 115lb,CAM,Right,86,83,78,88,42,59,31,England,Barclays WSL,Brighton
191,Kalidou Koulibaly,"186cm / 6'1""",93kg / 205lb,CB,Right,76,48,64,67,85,84,33,Senegal,ROSHN Saudi League,Al Hilal
192,Amel Majri,"164cm / 5'5""",54kg / 119lb,LW,Left,78,76,85,88,79,74,32,France,Arkema PL,OL
193,Sadio Mané,"174cm / 5'9""",69kg / 152lb,LM,Right,83,81,78,86,44,75,32,Senegal,ROSHN Saudi League,Al Nassr
194,Lisandro Martínez,"178cm / 5'10""",77kg / 170lb,CB,Left,71,59,78,79,85,81,27,Argentina,Premier League,Man Utd
195,Griedge Mbock,"172cm / 5'8""",68kg / 150lb,CB,Right,63,55,66,66,85,83,30,France,Arkema PL,Paris SG
196,Diogo Costa,"192cm / 6'4""",84kg / 185lb,GK,Right,83,78,82,86,35,83,25,Portugal,Liga Portugal,FC Porto
197,Ferland Mendy,"180cm / 5'11""",73kg / 161lb,LB,Left,89,64,76,76,81,85,29,France,LALIGA EA SPORTS,Real Madrid
198,Christopher Nkunku,"177cm / 5'10""",68kg / 150lb,CAM,Right,81,81,81,86,60,67,27,France,Premier League,Chelsea
